highway,count,bus_speed,bus_allowed,foot_allowed,bus
service,24371,0,False,False,
footway,13269,0,False,True,
path,12437,0,False,False,
residential,8080,0,False,True,
track,4762,0,False,True,
unclassified,3114,0,True,False,
secondary,2400,45,True,True,
tertiary,2021,40,True,True,
steps,1453,0,False,False,
primary,1095,0,False,False,
living_street,1053,0,False,True,
cycleway,987,0,False,False,
motorway,558,80,True,False,
motorway_link,524,60,True,False,
platform,500,0,False,True,
pedestrian,460,0,False,True,
trunk,434,0,True,False,
trunk_link,242,0,True,False,
corridor,96,0,False,False,
secondary_link,82,0,False,False,
primary_link,69,0,False,False,
tertiary_link,32,0,False,False,
elevator,28,0,False,True,
busway,1,0,False,False,
road,1,0,False,False,
bus_stop,1,0,False,True,
